steps	episodes	elapsed	mean	median	stdev	max	min	average_q	average_loss
100131	805	523.1217656135559	148.0	140.0	23.475755815545345	180.0	100.0	0.37409723092573816	3.8541318816871737
200077	1580	1220.8355622291565	22.0	20.0	19.888578520235065	60.0	0.0	0.5862939523296785	3.720291606225063
300113	2341	1928.109647989273	54.0	60.0	31.340424729448422	100.0	0.0	0.7287164654143312	3.546461801919157
400060	3041	2650.374134540558	190.0	190.0	52.70462766947299	300.0	120.0	0.9103792480029484	3.3694041799468475
500093	3663	4112.80682182312	2.0	0.0	6.324555320336759	20.0	0.0	1.1743028440454237	3.27185660677821
600533	4179	4839.550053119659	106.0	100.0	9.66091783079296	120.0	100.0	1.2356869446201422	3.2108831874720027
700304	4642	5579.035526514053	304.0	320.0	56.41118880348314	360.0	180.0	1.3973550163427424	3.1410426614032962
800281	5107	6303.469013214111	168.0	160.0	10.327955589886445	180.0	160.0	1.5656019079401995	3.0636363204409447
900112	5592	7042.3964076042175	186.0	200.0	32.72783388968954	220.0	140.0	1.734498366951272	2.9873487430789814
1000086	6068	7781.693071365356	182.0	180.0	6.324555320336759	200.0	180.0	1.8918260349911598	2.921153738097227
1100141	6550	8529.143704891205	178.0	160.0	79.6938586787659	300.0	100.0	2.027014591384737	2.873137088973705
1200068	6996	9270.522092103958	134.0	130.0	44.27188724235731	240.0	80.0	2.1868006048104127	2.848796052298192
1300388	7424	9999.350233793259	204.0	210.0	77.63160868271807	300.0	80.0	2.306016211801232	2.8132194270475304
1400221	7824	10714.501967906952	80.0	80.0	0.0	80.0	80.0	2.2397056639434396	2.742173863338968
1500202	8181	11477.147855043411	444.0	440.0	95.59172442098624	560.0	260.0	2.36423252852078	2.7170874769358426
1600433	8529	12223.077302455902	220.0	170.0	88.44332774281067	420.0	160.0	2.405518582616981	2.6964722887711257
1700256	8829	12980.274999141693	462.0	470.0	70.20604595680409	560.0	360.0	2.551459019386794	2.6377492419249347
1800449	9083	13782.349573135376	572.0	590.0	201.59365069366643	800.0	260.0	2.4205630288286275	2.607042408501213
1900299	9289	14573.30079126358	908.0	860.0	214.82809665197686	1340.0	660.0	2.6111565368403564	2.5954195787080625
2000039	9505	15346.018696784973	534.0	490.0	109.56479564369408	700.0	420.0	2.871630719987799	2.5802363011035996
2100145	9699	16171.604537963867	390.0	390.0	87.55950357709132	520.0	200.0	2.6299903290290256	2.5474472367252052
2200103	9890	16952.49206638336	518.0	530.0	175.99242407937146	780.0	220.0	2.8991857120505533	2.554331571920408
2300369	10076	17786.729344129562	754.0	800.0	150.86417732516887	920.0	540.0	2.1471860960930607	2.5677350000187587
2401536	10253	18892.020256519318	536.0	530.0	129.20268315067352	800.0	380.0	1.1065902471343614	2.5374707666080094
2500122	10425	19678.86438512802	490.0	480.0	98.09292646374774	640.0	320.0	3.0274380439545143	2.550292117813618
2600167	10567	20560.87045454979	816.0	810.0	51.46735750831675	900.0	720.0	2.064933453373823	2.538588792098463
2700550	10707	21419.396465539932	1034.0	1050.0	237.9635826479898	1520.0	540.0	2.1678504155298484	2.5180455178311094
2800193	10834	22334.92114853859	926.0	860.0	253.34210511129456	1360.0	620.0	3.367600729044913	2.527075870638412
2901502	10972	23359.107163906097	1026.0	1050.0	158.89898957793562	1240.0	720.0	1.3261488777083739	2.526435837552216
3000039	11111	24194.133447408676	1022.0	1080.0	271.0391525632823	1420.0	640.0	2.5229392061663476	2.5224058227452835
3107062	11202	25286.259384393692	1114.0	1200.0	573.9570251043772	1760.0	220.0	2.0654399060723123	2.5060479146468344
3200238	11261	26244.865013837814	824.0	790.0	108.64826019980461	980.0	680.0	3.1133956874064177	2.493806452875252
3300182	11372	27518.67065525055	998.0	1050.0	394.23061496765797	1580.0	340.0	2.999581758801968	2.4795556397529066
3400806	11469	28552.073603868484	1534.0	1560.0	379.3620375782948	2000.0	980.0	1.7758929783062076	2.464167475355077
3500311	11569	29396.86354804039	650.0	580.0	367.12093072688975	1580.0	360.0	3.1151707292205475	2.469530179038565
3600465	11684	30504.945725679398	1166.0	990.0	398.00055834690033	1900.0	820.0	1.9911373160084724	2.462742450238614
3700064	11801	31717.608730316162	1422.0	1250.0	445.66554475052004	2280.0	860.0	3.4242437023779044	2.449900650259858
3800023	11903	32681.376673936844	1442.0	1430.0	467.75587174888096	2240.0	960.0	2.740814610456287	2.4256315552625964
3901038	12029	33846.43525695801	1912.0	1930.0	503.78125764616885	2460.0	1160.0	1.2030509954350395	2.4127450216865864
4000532	12153	34863.10736870766	1390.0	1340.0	290.01915645541607	1920.0	800.0	3.451336481804866	2.420530337832015
4101245	12277	35807.5441763401	1194.0	1100.0	354.53255609793206	1780.0	700.0	4.2275019649127294	2.4169266766690556
4201107	12405	36624.15200638771	1236.0	1230.0	365.24573158963057	2140.0	860.0	4.031798812582712	2.4624482520468916
4300426	12552	37484.12004470825	1910.0	1920.0	513.7444241384361	2620.0	1040.0	1.5702590128896705	2.4587956988381183
4400495	12684	38290.270362615585	1352.0	1340.0	232.8948260481542	1840.0	1060.0	4.2300364508228006	2.4687942258791216
4500359	12834	39112.9076230526	1640.0	1660.0	411.7172708438536	2460.0	1000.0	3.0593320673185147	2.494574420482284
4600322	12986	39902.44181227684	2368.0	2530.0	494.521092685753	2820.0	1300.0	3.991908248320339	2.5197024536062735
4700565	13134	40721.546045064926	3018.0	3170.0	551.2369927918683	3640.0	1900.0	4.294929526110595	2.527211261067119
4800215	13276	41546.73498606682	2814.0	2860.0	694.4254219616868	3800.0	1920.0	4.14249537855673	2.591422197341469
4900398	13417	42340.09999418259	2142.0	2320.0	691.6935737738207	3200.0	1160.0	4.808699063337503	2.6239545311342853
5000043	13550	43136.39319348335	2504.0	2360.0	646.6185549112828	3800.0	1800.0	4.301071534884242	2.639085528240674
5100728	13675	44039.68089199066	2618.0	2550.0	603.5782191784812	3900.0	2020.0	2.14252333525438	2.6377356994601397
5200176	13801	44870.01872396469	3152.0	2800.0	987.8911321035779	5300.0	2060.0	3.2140899154758387	2.6365201703097525
5300169	13923	45714.74823474884	3534.0	3460.0	668.2015663954503	4760.0	2560.0	4.320655030359435	2.6388456443308344
5400000	14042	46565.103491306305	4436.0	4460.0	997.6327536278624	5780.0	2500.0	3.9848706370580422	2.6439979568383043
5500090	14158	47387.21811556816	4208.0	4300.0	544.8098546995802	4940.0	3440.0	5.816650252569998	2.6227032871039033
5600167	14271	48272.86467909813	5382.0	5050.0	921.6145253484959	7320.0	4580.0	3.973147034420989	2.6080192908375013
5700773	14367	49266.07702565193	7330.0	5730.0	3551.8414629284594	15680.0	4980.0	2.9735962538047565	2.5655713962839677
5800570	14477	50120.68413186073	4946.0	4960.0	542.9998976877333	5940.0	3800.0	2.6314370284391124	2.522991137195284
5900040	14578	50947.856164216995	4792.0	4780.0	818.6818673941667	5800.0	2840.0	5.490853441506517	2.489128897829329
6001154	14693	51797.59393811226	4246.0	4380.0	1345.975069935877	6040.0	2180.0	7.105415587508588	2.463989128074624
6100048	14815	52642.14579534531	5324.0	5150.0	794.9730952819864	7100.0	4560.0	4.71760954289534	2.448856552629842
6200575	14930	53579.570277929306	6586.0	6090.0	2165.0157813127676	12400.0	5000.0	3.89888988715742	2.4353916119010766
6301071	15030	54540.91190910339	8694.0	4940.0	7364.2683878908765	25660.0	4020.0	3.271283993794676	2.4219770156524096
6401714	15137	55419.11037278175	5046.0	5080.0	2021.925375037917	9060.0	1900.0	5.238164898929586	2.3874068034755997
6501136	15233	56289.4439740181	5826.0	5570.0	1056.4952542355418	8240.0	4840.0	4.163059806217125	2.36090686376495
6600304	15324	57440.57821416855	12204.0	9070.0	5971.873333478458	23120.0	5380.0	3.8432274506415607	2.366402689680394
6700193	15424	58343.60880231857	5608.0	4850.0	2390.912424624169	10920.0	3340.0	5.6896966140764675	2.341328413369802
6800784	15529	59424.51544499397	11026.0	6500.0	7387.479197188232	26120.0	5100.0	6.096640274439659	2.3361878904343625
6900893	15632	60451.969322919846	10122.0	10330.0	4537.512289545647	17420.0	4900.0	4.0772738554237264	2.32987269368642
7001665	15729	61482.10724258423	8858.0	6340.0	6226.348671394639	22300.0	4620.0	4.184353371530266	2.31614103688601
7100364	15821	62417.845943689346	7586.0	6070.0	5817.590566549007	23960.0	3560.0	5.513868531013476	2.3436412952897223
7200220	15924	63571.9270670414	13330.0	9230.0	9240.049302417769	25280.0	4180.0	4.580658492407955	2.345436995709505
7300370	16018	64489.179915905	7432.0	6330.0	3675.5311029685067	17820.0	5200.0	6.222649590131387	2.3372909204985857
7400058	16107	65445.5234875679	7090.0	6820.0	1877.4983355518586	11540.0	5040.0	6.4008545702203055	2.340345852168703
7500236	16206	66632.83512425423	10812.0	6720.0	7549.570701555008	26000.0	5220.0	6.708391837845571	2.3291456537804853
7600019	16299	67602.62041711807	7234.0	5060.0	5216.597869620902	19120.0	2320.0	5.737295081909203	2.332202411932087
7700641	16401	68762.0256049633	11968.0	9590.0	5994.369209701904	25060.0	5760.0	5.658507131379345	2.3376735526376606
7800287	16503	69652.33503746986	2792.0	1990.0	2357.1206540560834	6720.0	260.0	6.3150982182318725	2.3405230177266594
7900757	16605	70643.19562005997	7590.0	6100.0	3622.4147869741378	16420.0	4420.0	6.827213709679992	2.3261148135010115
8000550	16710	71816.711571455	12686.0	8320.0	8281.9592421654	25540.0	5720.0	5.195025378488378	2.3434109582535085
8100515	16807	72977.23267817497	9786.0	6900.0	6443.132778392822	21860.0	1640.0	5.123982470568151	2.3442521787441812
8201412	16907	73901.97019839287	5132.0	2800.0	7782.225902657928	27080.0	1520.0	4.984836782842578	2.336847389562991
8300964	17029	74970.56708407402	10812.0	7860.0	7075.480038681318	25420.0	4860.0	5.687490622592466	2.358680217412461
8401013	17128	76069.16574692726	9696.0	8510.0	4811.392036961168	17300.0	3700.0	6.341873059089067	2.3530568263156746
8500182	17226	76997.61626505852	5936.0	5800.0	1157.1535958741365	8060.0	4500.0	5.808259021029924	2.365714923974226
8600272	17328	78081.54531478882	9084.0	3880.0	8670.17262419459	24000.0	1380.0	7.041050025108418	2.3400217852580325
8700924	17424	79300.28397369385	13672.0	12240.0	6491.773940063601	25220.0	6280.0	5.901814993530672	2.3406282573197625
8800088	17520	80321.64374542236	10200.0	7220.0	6082.177972477367	19640.0	4940.0	7.245538260596715	2.341889381811257
